game_index,Event,Site,Date,Round,White,Black,Result,ECO,WhiteElo,BlackElo,PlyCount,EventDate,EventType,EventRounds,SourceTitle,Source,SourceDate,kramnik_color,opponent,opponentElo,kramnikElo,kramnik_result,year,month,day
1,Titled Tue 26th Mar Early,chess.com INT,2024.03.26,2,"Zeynalov, R.","Kramnik, V.",1-0,A45,2127,2753,97,2024.03.26,swiss (blitz),11,The Week in Chess 1534,Mark Crowther,2024.04.01,Black,"Zeynalov, R.",2127,2753,loss,2024,03,26
2,Titled Tue 26th Mar Early,chess.com INT,2024.03.26,9,"Kramnik, V.","Cherniaiev, Tykhon",1/2-1/2,C50,2753,2306,164,2024.03.26,swiss (blitz),11,The Week in Chess 1534,Mark Crowther,2024.04.01,White,"Cherniaiev, Tykhon",2306,2753,draw,2024,03,26
3,Titled Tue 26th Mar Early,chess.com INT,2024.03.26,10,"Iniyan, Pa","Kramnik, V.",1-0,D58,2498,2753,117,2024.03.26,swiss (blitz),11,The Week in Chess 1534,Mark Crowther,2024.04.01,Black,"Iniyan, Pa",2498,2753,loss,2024,03,26
4,Titled Tue 19th Mar Early,chess.com INT,2024.03.19,5,"Gorovets, A.","Kramnik, V.",1/2-1/2,E11,2480,2753,179,2024.03.19,swiss (blitz),11,The Week in Chess 1533,Mark Crowther,2024.03.25,Black,"Gorovets, A.",2480,2753,draw,2024,03,19
5,Titled Tue 19th Mar Early,chess.com INT,2024.03.19,4,"Kramnik, V.","Cherniaiev, Tykhon",0-1,C70,2753,2306,84,2024.03.19,swiss (blitz),11,The Week in Chess 1533,Mark Crowther,2024.03.25,White,"Cherniaiev, Tykhon",2306,2753,loss,2024,03,19
6,Titled Tue 5th Mar Early,chess.com INT,2024.03.05,5,"Kramnik, V.","Harutjunyan, G.",1/2-1/2,B19,2753,2358,116,2024.03.05,swiss (blitz),11,The Week in Chess 1531,Mark Crowther,2024.03.11,White,"Harutjunyan, G.",2358,2753,draw,2024,03,05
7,Titled Tue 30th Jan Late,chess.com INT,2024.01.30,4,"Kramnik, V.","Injac, Teodora",1/2-1/2,B90,2753,2439,125,2024.01.30,swiss (blitz),11,The Week in Chess 1526,Mark Crowther,2024.02.05,White,"Injac, Teodora",2439,2753,draw,2024,01,30
8,Titled Tue 30th Jan Early,chess.com INT,2024.01.30,10,"Gholami Orimi, Mahdi","Kramnik, V.",1-0,D35,2470,2753,69,2024.01.30,swiss (blitz),11,The Week in Chess 1526,Mark Crowther,2024.02.05,Black,"Gholami Orimi, Mahdi",2470,2753,loss,2024,01,30
9,Titled Tue 23rd Jan Early,chess.com INT,2024.01.23,2,"Borgaonkar, Akshay","Kramnik, V.",1/2-1/2,B90,2206,2753,108,2024.01.23,swiss (blitz),11,The Week in Chess 1525,Mark Crowther,2024.01.29,Black,"Borgaonkar, Akshay",2206,2753,draw,2024,01,23
10,Titled Tue 23rd Jan Late,chess.com INT,2024.01.23,5,"Amburgy, Ryan","Kramnik, V.",1/2-1/2,D43,2200,2753,125,2024.01.23,swiss (blitz),11,The Week in Chess 1525,Mark Crowther,2024.01.29,Black,"Amburgy, Ryan",2200,2753,draw,2024,01,23
11,Titled Tue 23rd Jan Late,chess.com INT,2024.01.23,7,"Dyachuk, Artem","Kramnik, V.",1-0,B51,2240,2753,59,2024.01.23,swiss (blitz),11,The Week in Chess 1525,Mark Crowther,2024.01.29,Black,"Dyachuk, Artem",2240,2753,loss,2024,01,23
12,Titled Tue 23rd Jan Late,chess.com INT,2024.01.23,1,"Alimpic, Aleksa","Kramnik, V.",1/2-1/2,A46,2282,2753,167,2024.01.23,swiss (blitz),11,The Week in Chess 1525,Mark Crowther,2024.01.29,Black,"Alimpic, Aleksa",2282,2753,draw,2024,01,23
13,Titled Tue 16th Jan Early,chess.com INT,2024.01.16,5,"Tatarinov, Dmitry","Kramnik, V.",1-0,B90,2332,2753,87,2024.01.16,swiss (blitz),11,The Week in Chess 1524,Mark Crowther,2024.01.22,Black,"Tatarinov, Dmitry",2332,2753,loss,2024,01,16
14,Titled Tue 16th Jan Late,chess.com INT,2024.01.16,11,"Kramnik, V.","Wan, Joseph",0-1,C19,2753,2212,144,2024.01.16,swiss (blitz),11,The Week in Chess 1524,Mark Crowther,2024.01.22,White,"Wan, Joseph",2212,2753,loss,2024,01,16
15,Titled Tue 2nd Jan Early,chess.com INT,2024.01.02,6,"Kramnik, V.","Sadhwani, Raunak",0-1,C67,2753,2654,88,2024.01.02,swiss (blitz),11,The Week in Chess 1522,Mark Crowther,2024.01.08,White,"Sadhwani, Raunak",2654,2753,loss,2024,01,02
